Unnamed: 0,Hauptbedeutung,on-yomi 1,Bedeutung on-yomi 1,on-yomi 2,Bedeutung on-yomi 2,kun-yomi 1,Bedeutung kun-yomi 1,kun-yomi 2,Bedeutung kun-yomi 2
教,Unterricht,KYOU,Lehre,,,oshi.eru,unterrichten,oso.waru,unterrichtet werden
室,Zimmer,SHITSU,,,,muro,(Keller),,
言,sagen,GEN,,GON,,i.u,,koto,Wort
葉,Blatt,YOU,,,,ha,Laub,,
聞,hören,BUN,,*MON,,ki.ku,"hören, fragen",ki.koeru,hören können [JH]
読,lesen,DOKU,,*TOU,,yo.mu,,,
見,(zu/an-)sehen,KEN,,,,mi.ru,,mi.eru,sehen können [JH]
書,schreiben,SHO,Buch,,,ka.ku,,,
一,eins,ICHI,,ITSU,,hito.tsu,,hito,
度,Mal,DO,Grad,*TAKU,Vorbereitung,tabi,"das (1., 2. usw.) Mal",,
生,leben,SEI,,SHOU,,i.kiru / .kasu,"leben / leben lassen, zur Geltung bringen",u.mu / .mareru,gebären / geboren werden
活,leben,KATSU,aktiv,,,,,,
失,verlieren,SHITSU,Fehler,,,ushina.u,,,
礼,Höflichkeit,REI,Dank,,,,,,
数,Zahl,SUU,,,,kazu,,kazo.eru,zählen
買,kaufen,BAI,,,,ka.u,,,
物,Gegenstand,BUTSU,,MOTSU,,mono,"Ding, Gegenstand",,
円,Yen,EN,Kreis,,,maru.i,"rund, kreisförmig",,
弁,Sprache,BEN,"Dialekt, unterscheiden",,,,,,
当,zutreffen,TOU,"dieser, passend, Pfand",,,a.taru,"entsprechen, gewinnen",a.teru,"anlegen, anpassen"
定,festsetzen,TEI,,*JOU,,sada.meru / .maru,"festsetzen, bestimmen / festgesetzt werden",sada.ka,"sicher, Zuverlässig"
食,essen,SHOKU,,,,ta.beru,,ku.u,"essen, fressen"
紅,Scharlachrot,KOU,,,,kurenai,,beni,rote Schminke
茶,Tee,CHA,,SA,,,,,
牛,Rind,GYUU,,,,ushi,,,
乳,Milch,NYUU,,,,chichi,"Brust, Muttermilch",,
水,Wasser,SUI,,,,mizu,,,
金,Metall,KIN,Gold,KON,,kane,"Geld, Metall",*kana,
時,Zeit,JI,Stunde,,,toki,"Zeit, Zeitpunkt",,
間,Zwischenraum,KAN,,KEN,,aida,"Zwischenzeit, Zwischenraum",ma,"Zimmer, Zeitraum"
月,Monat,GATSU,,GETSU,,tsuki,Mond,,
日,Sonne,NICHI,Japan,JITSU,,hi,Tag,ka,
